age,monthly_income,investment_knowledge,investment_experience,num_assets,time_horizon,goal_type,investment_frequency,dependents,market_sensitivity,net_worth,preferred_asset,education_level,employment_type,risk_profile,expected_return
56,10930,7,16,2,10,Retirement,Monthly,0,5,749613,Real Estate,High School,Salaried,Speculative,2.68
69,4285,4,16,4,10,Retirement,Quarterly,4,2,1609455,Crypto,High School,Retired,Speculative,2.0
46,4095,5,0,4,21,Education,Monthly,1,2,762546,Mixed,Masters,Unemployed,Speculative,3.7
32,17704,9,0,2,18,Wealth Accumulation,Yearly,3,5,137805,Crypto,Masters,Salaried,Moderate,2.0
60,19705,7,8,9,21,Wealth Accumulation,Yearly,3,9,1879055,Bonds,Bachelors,Retired,Speculative,3.82
25,1555,7,3,2,18,House,Monthly,3,8,758493,Crypto,PhD,Retired,Speculative,3.88
38,6432,10,8,6,9,Retirement,Yearly,2,4,1910329,Stocks,Masters,Unemployed,Speculative,3.2
56,2386,7,13,5,21,Wealth Accumulation,Monthly,3,0,378621,Mixed,Masters,Freelance,Speculative,3.26
36,12239,9,14,4,1,House,Monthly,2,9,751061,Mixed,PhD,Salaried,Speculative,3.59
40,11619,5,15,6,25,Wealth Accumulation,Yearly,2,6,1205008,Real Estate,PhD,Unemployed,Speculative,4.29
28,7854,6,15,4,16,Retirement,Quarterly,2,8,1009684,Bonds,Masters,Freelance,Speculative,3.92
28,11196,3,12,9,10,Education,Yearly,1,9,1703609,Mixed,High School,Freelance,Speculative,4.21
41,17033,1,13,7,15,Wealth Accumulation,Quarterly,0,1,1146855,Real Estate,Bachelors,Salaried,Speculative,2.41
53,8637,2,8,3,5,Retirement,Quarterly,1,8,1232597,Mixed,Bachelors,Unemployed,Speculative,3.76
57,13962,8,8,4,27,Retirement,Quarterly,0,4,1362986,Stocks,Masters,Freelance,Speculative,3.0
41,15940,1,3,1,17,Retirement,Monthly,1,0,1600416,Mixed,Masters,Freelance,Speculative,4.26
20,11618,10,9,6,9,House,Quarterly,2,3,1736004,Stocks,High School,Freelance,Speculative,4.93
39,4793,7,2,2,25,House,Quarterly,0,7,959398,Crypto,High School,Retired,Speculative,2.0
19,8373,5,8,4,26,Education,Yearly,3,2,100990,Stocks,Masters,Unemployed,Aggressive,2.13
41,3513,6,18,5,26,Wealth Accumulation,Monthly,1,4,1869240,Stocks,High School,Freelance,Speculative,2.71
61,3327,8,15,8,25,House,Monthly,0,1,1545778,Stocks,Masters,Retired,Speculative,3.47
47,9809,4,15,3,6,House,Quarterly,3,4,1260724,Mixed,Bachelors,Salaried,Speculative,2.72
55,19549,6,16,6,26,House,Yearly,4,8,1297915,Bonds,High School,Unemployed,Speculative,2.12
19,7452,3,17,1,26,Wealth Accumulation,Quarterly,2,2,736347,Stocks,High School,Unemployed,Speculative,4.14
38,8642,7,9,9,2,Education,Monthly,1,6,461169,Real Estate,Bachelors,Retired,Speculative,3.5
50,15435,2,18,1,28,Education,Yearly,1,5,1239276,Mixed,Bachelors,Retired,Speculative,2.27
29,1992,8,14,2,13,Education,Monthly,4,1,1386382,Bonds,High School,Retired,Speculative,2.77
39,6424,7,14,1,23,Wealth Accumulation,Monthly,0,6,1929596,Bonds,High School,Freelance,Speculative,2.0
61,5381,8,10,8,18,Wealth Accumulation,Monthly,1,9,858193,Mixed,Masters,Unemployed,Speculative,2.0
42,5782,2,7,4,20,Education,Monthly,1,3,239117,Real Estate,High School,Salaried,Moderate,2.0
66,8460,3,15,2,4,Retirement,Monthly,1,5,202848,Crypto,Masters,Freelance,Speculative,2.0
44,3983,4,9,7,10,Wealth Accumulation,Yearly,1,6,1426105,Mixed,Bachelors,Freelance,Speculative,2.0
59,15182,9,8,8,23,Wealth Accumulation,Yearly,4,8,1078605,Bonds,Bachelors,Retired,Speculative,3.3
45,3523,5,14,9,22,Education,Monthly,2,6,1993908,Crypto,Masters,Freelance,Speculative,2.76
33,10677,6,4,5,28,Education,Quarterly,1,2,118333,Bonds,PhD,Retired,Moderate,2.7
32,11292,1,19,3,11,Retirement,Quarterly,4,8,1588739,Stocks,PhD,Salaried,Speculative,3.7
64,16089,4,1,1,28,Retirement,Monthly,3,5,686104,Crypto,Bachelors,Unemployed,Speculative,4.34
68,5581,4,15,8,13,House,Yearly,1,3,504541,Mixed,High School,Salaried,Speculative,2.8
61,12907,10,17,6,28,House,Quarterly,0,9,1934558,Mixed,Bachelors,Retired,Speculative,4.13
69,6609,8,15,5,26,Education,Yearly,4,4,153159,Real Estate,PhD,Salaried,Aggressive,4.21
20,19385,8,4,7,23,House,Yearly,0,9,1126734,Crypto,High School,Freelance,Speculative,2.14
54,18771,10,0,5,22,Wealth Accumulation,Quarterly,2,0,1949162,Real Estate,Bachelors,Freelance,Speculative,2.0
68,12375,6,18,4,17,Retirement,Quarterly,3,3,554495,Mixed,Bachelors,Retired,Speculative,2.74
24,18414,8,9,5,11,House,Yearly,0,2,1650414,Real Estate,PhD,Salaried,Speculative,3.29
38,10957,9,12,7,4,House,Quarterly,1,5,1444859,Crypto,High School,Freelance,Speculative,2.27
26,13955,5,10,6,14,Education,Monthly,4,8,1026331,Mixed,High School,Freelance,Speculative,3.51
56,2220,1,14,9,3,Retirement,Quarterly,3,2,1101473,Bonds,PhD,Salaried,Speculative,4.44
35,14163,1,1,2,23,Retirement,Yearly,4,4,1281380,Mixed,PhD,Unemployed,Speculative,3.64
21,14289,2,5,7,29,House,Yearly,3,1,778382,Real Estate,Masters,Freelance,Speculative,2.0
42,13537,2,10,1,23,Wealth Accumulation,Yearly,0,8,1291526,Real Estate,Masters,Unemployed,Speculative,3.83
31,10810,5,14,8,12,Wealth Accumulation,Yearly,2,7,1288233,Mixed,High School,Salaried,Speculative,2.97
67,10455,7,8,4,28,Wealth Accumulation,Yearly,4,9,1144204,Stocks,PhD,Freelance,Speculative,3.92
26,10063,7,11,8,27,Wealth Accumulation,Yearly,1,3,1547533,Stocks,PhD,Salaried,Speculative,3.02
43,1834,4,3,8,4,Wealth Accumulation,Monthly,4,10,1158503,Stocks,High School,Retired,Speculative,2.73
19,2724,4,13,4,16,House,Yearly,2,7,195435,Bonds,Masters,Freelance,Aggressive,3.46
37,3413,10,2,4,7,Wealth Accumulation,Yearly,0,9,781480,Bonds,High School,Unemployed,Speculative,4.94
45,10505,3,16,5,20,House,Monthly,1,3,302642,Bonds,Bachelors,Freelance,Speculative,3.64
64,5498,2,12,7,25,Education,Yearly,1,1,1955650,Mixed,PhD,Salaried,Speculative,2.34
24,3105,3,7,6,19,House,Yearly,0,8,1321640,Mixed,PhD,Retired,Speculative,3.01
61,3568,8,11,1,26,Wealth Accumulation,Monthly,4,1,690266,Crypto,Bachelors,Freelance,Speculative,4.66
25,10330,1,11,6,18,House,Quarterly,1,0,1391344,Stocks,PhD,Salaried,Speculative,3.63
64,17593,4,11,3,21,Wealth Accumulation,Quarterly,4,0,188484,Crypto,PhD,Retired,Speculative,2.0
52,5911,7,1,9,9,Education,Yearly,4,2,890905,Stocks,PhD,Salaried,Speculative,3.43
31,19604,5,9,3,11,Wealth Accumulation,Quarterly,0,9,457749,Real Estate,Masters,Salaried,Speculative,4.2
34,17617,2,8,9,19,Retirement,Quarterly,2,6,1702684,Crypto,Bachelors,Retired,Speculative,5.15
53,1792,1,0,5,17,Education,Monthly,2,5,1777454,Mixed,PhD,Salaried,Speculative,2.0
67,15195,6,3,8,25,House,Quarterly,4,2,1491753,Real Estate,PhD,Freelance,Speculative,2.33
57,14901,5,13,9,21,House,Yearly,0,4,170022,Crypto,PhD,Freelance,Speculative,4.38
21,16762,3,15,9,18,Wealth Accumulation,Monthly,2,9,1422296,Real Estate,Bachelors,Unemployed,Speculative,3.09
19,19550,9,17,7,6,Retirement,Quarterly,4,5,645134,Real Estate,PhD,Retired,Speculative,3.4
